STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRANSPORT_MODE,Transport mode,VEHICLE_TYPE,Vehicle type,INFRASTRUCTURE_TYPE,Infrastructure type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,CZE,Czechia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,ROAD,Road,_T,Total,_T,Total,2020,,56090,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,MKD,North Macedonia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,2020,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,EST,Estonia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,TOT_INL,Inland,_T,Total,_T,Total,2020,,6010,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,CZE,Czechia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,HIRING,For hire and reward,_T,Total,_T,Total,2021,,55403,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,NZL,New Zealand,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,RAIL,Rail,_T,Total,_T,Total,2019,,4545,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,NZL,New Zealand,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,RAIL,Rail,_T,Total,_T,Total,2022,,4296,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,NZL,New Zealand,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,RAIL,Rail,_T,Total,_T,Total,2021,,4444,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,LTU,Lithuania,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,HIRING,For hire and reward,_T,Total,_T,Total,2019,,51711,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,BLR,Belarus,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,RAIL,Rail,_T,Total,_T,Total,2020,,42420,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,MKD,North Macedonia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,HIRING,For hire and reward,_T,Total,_T,Total,2019,,8052,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,MKD,North Macedonia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,HIRING,For hire and reward,_T,Total,_T,Total,2022,,13290,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,MKD,North Macedonia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,HIRING,For hire and reward,_T,Total,_T,Total,2021,,9914,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,KAZ,Kazakhstan,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,RAIL,Rail,_T,Total,_T,Total,2019,,289174,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,DEU,Germany,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,2019,,50919,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,DEU,Germany,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,2022,,44117,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,DEU,Germany,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,2021,,48182,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,RUS,Russia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,COASTAL,Coastal shipping,_T,Total,_T,Total,2019,,20981,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,CAN,Canada,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,RAIL,Rail,_T,Total,_T,Total,2022,,406294,,P,Provisional value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,CAN,Canada,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,RAIL,Rail,_T,Total,_T,Total,2020,,444032,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,CAN,Canada,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,RAIL,Rail,_T,Total,_T,Total,2019,,446081,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,ITA,Italy,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,PIPE,Pipeline,_T,Total,_T,Total,2019,,10099,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,ITA,Italy,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,PIPE,Pipeline,_T,Total,_T,Total,2022,,9358,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,CZE,Czechia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,HIRING,For hire and reward,_T,Total,_T,Total,2019,,33087,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,CZE,Czechia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,HIRING,For hire and reward,_T,Total,_T,Total,2022,,57143,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,NOR,Norway,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,2022,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,NOR,Norway,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,2021,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,SVN,Slovenia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,OWN,On own account,_T,Total,_T,Total,2019,,680,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,SVN,Slovenia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,OWN,On own account,_T,Total,_T,Total,2022,,748,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,SVN,Slovenia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,OWN,On own account,_T,Total,_T,Total,2021,,666,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,NZL,New Zealand,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,PIPE,Pipeline,_T,Total,_T,Total,2019,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,NZL,New Zealand,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,PIPE,Pipeline,_T,Total,_T,Total,2022,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,NZL,New Zealand,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,PIPE,Pipeline,_T,Total,_T,Total,2021,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,CHL,Chile,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,2021,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,CHL,Chile,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,2020,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,CHL,Chile,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,2019,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,CHE,Switzerland,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,RAIL,Rail,_T,Total,_T,Total,2019,,11666,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,CHE,Switzerland,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,RAIL,Rail,_T,Total,_T,Total,2022,,12136,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,CHE,Switzerland,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,RAIL,Rail,_T,Total,_T,Total,2021,,12024,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,AZE,Azerbaijan,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,PIPE,Pipeline,_T,Total,_T,Total,2019,,62768,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,AZE,Azerbaijan,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,PIPE,Pipeline,_T,Total,_T,Total,2022,,65333,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,AZE,Azerbaijan,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,PIPE,Pipeline,_T,Total,_T,Total,2021,,58018,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,BGR,Bulgaria,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,HIRING,For hire and reward,_T,Total,_T,Total,2019,,17504,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,BGR,Bulgaria,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,HIRING,For hire and reward,_T,Total,_T,Total,2022,,30695,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,BGR,Bulgaria,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,HIRING,For hire and reward,_T,Total,_T,Total,2021,,30116,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,HUN,Hungary,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,HIRING,For hire and reward,_T,Total,_T,Total,2022,,33572,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,HUN,Hungary,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,HIRING,For hire and reward,_T,Total,_T,Total,2021,,32435,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,HUN,Hungary,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,HIRING,For hire and reward,_T,Total,_T,Total,2020,,28500,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,IRL,Ireland,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,OWN,On own account,_T,Total,_T,Total,2019,,3458,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,IRL,Ireland,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,OWN,On own account,_T,Total,_T,Total,2022,,3427,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,IRL,Ireland,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,OWN,On own account,_T,Total,_T,Total,2021,,3440,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,DEU,Germany,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,TOT_INL,Inland,_T,Total,_T,Total,2019,,509598,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,DEU,Germany,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,TOT_INL,Inland,_T,Total,_T,Total,2020,,487424,,P,Provisional value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,SWE,Sweden,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,ROAD,Road,_T,Total,_T,Total,2019,,42600,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,SWE,Sweden,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,ROAD,Road,_T,Total,_T,Total,2022,,47870,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,LTU,Lithuania,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,HIRING,For hire and reward,_T,Total,_T,Total,2022,,52546,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,LTU,Lithuania,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,HIRING,For hire and reward,_T,Total,_T,Total,2021,,56441,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,HRV,Croatia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,OWN,On own account,_T,Total,_T,Total,2021,,2001,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,ITA,Italy,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,RAIL,Rail,_T,Total,_T,Total,2019,,21309,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,ITA,Italy,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,RAIL,Rail,_T,Total,_T,Total,2022,,24330,,P,Provisional value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,ITA,Italy,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,RAIL,Rail,_T,Total,_T,Total,2021,,24262,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,JPN,Japan,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,2021,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,JPN,Japan,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,2020,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,JPN,Japan,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,2019,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,FRA,France,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,RAIL,Rail,_T,Total,_T,Total,2019,,33909,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,FRA,France,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,RAIL,Rail,_T,Total,_T,Total,2022,,35282,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,FRA,France,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,RAIL,Rail,_T,Total,_T,Total,2021,,35770,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,EST,Estonia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,ROAD,Road,_T,Total,_T,Total,2019,,4795,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,EST,Estonia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,ROAD,Road,_T,Total,_T,Total,2022,,4540,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,EST,Estonia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,ROAD,Road,_T,Total,_T,Total,2021,,5237,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,GEO,Georgia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,ROAD,Road,_T,Total,_T,Total,2019,,702,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,GEO,Georgia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,ROAD,Road,_T,Total,_T,Total,2022,,730,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,GEO,Georgia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,ROAD,Road,_T,Total,_T,Total,2021,,721,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,ARM,Armenia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,COASTAL,Coastal shipping,_T,Total,_T,Total,2021,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,ARM,Armenia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,COASTAL,Coastal shipping,_T,Total,_T,Total,2020,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,ARM,Armenia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,COASTAL,Coastal shipping,_T,Total,_T,Total,2019,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,NLD,Netherlands,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,PIPE,Pipeline,_T,Total,_T,Total,2019,,5840,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,NLD,Netherlands,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,PIPE,Pipeline,_T,Total,_T,Total,2022,,5683,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,NLD,Netherlands,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,PIPE,Pipeline,_T,Total,_T,Total,2021,,6209,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,FIN,Finland,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,ROAD,Road,_T,Total,_T,Total,2019,,28847,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,FIN,Finland,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,ROAD,Road,_T,Total,_T,Total,2022,,30589,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,FIN,Finland,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,ROAD,Road,_T,Total,_T,Total,2021,,29617,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,TUR,Türkiye,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,TOT_INL,Inland,_T,Total,_T,Total,2022,,389384,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,TUR,Türkiye,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,TOT_INL,Inland,_T,Total,_T,Total,2021,,380305,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,TUR,Türkiye,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,TOT_INL,Inland,_T,Total,_T,Total,2020,,342331,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,MDA,Moldova,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,TOT_INL,Inland,_T,Total,_T,Total,2022,,7872,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,MDA,Moldova,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,TOT_INL,Inland,_T,Total,_T,Total,2021,,7011,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,MDA,Moldova,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,TOT_INL,Inland,_T,Total,_T,Total,2020,,6150,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,LUX,Luxembourg,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,COASTAL,Coastal shipping,_T,Total,_T,Total,2019,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,LUX,Luxembourg,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,COASTAL,Coastal shipping,_T,Total,_T,Total,2022,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,LUX,Luxembourg,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,COASTAL,Coastal shipping,_T,Total,_T,Total,2021,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,RUS,Russia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,OWN,On own account,_T,Total,_T,Total,2019,,112007,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,UZB,Uzbekistan,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,ROAD,Road,_T,Total,_T,Total,2020,,16233,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,KOR,Korea,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,2021,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,KOR,Korea,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,2020,,,,M,Missing value; data cannot exist,6,Millions,1,One
